"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CDF","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB"
1,"obs","obs",NA,"1961_1990",14632,455,40862,780,7596,24752,38667,11743,8709,2257,10070,5747,615,3,4852,22224,22077
2,"obs","obs",NA,"2001_2020",11462,338,39496,698,6037,24193,33004,9546,7574,1590,8325,3852,508,NA,3317,19537,18581
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",5024,243,37499,154,4119,24108,25402,10594,7385,736,5056,1707,333,NA,633,15601,7602
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",4557,198,36865,60,3947,23955,23375,9996,7114,583,4982,1428,198,NA,149,8483,5654
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",5001,200,37898,93,4041,23974,25185,10147,6944,749,5652,1877,243,NA,404,14374,8240
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",4683,229,36546,64,4030,24022,24745,10480,7355,635,4777,1564,282,NA,276,11668,5813
7,"EC-Earth3","ssp245","ensembleMean","2001_2020",4001,273,37728,410,4527,24161,27320,10937,7068,845,5328,2122,463,NA,1119,15298,7266
8,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",4251,281,38017,571,4589,24186,27383,10938,7094,886,5372,2214,502,NA,1425,16271,7540
9,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",4082,220,37217,226,4369,24054,27284,10864,7028,850,5246,2010,435,NA,469,13651,6970
10,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",3554,303,38054,591,4093,24020,26192,10788,7407,846,5058,2079,476,NA,1173,16994,6393
11,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",8407,369,38960,711,5183,24442,30983,10973,7785,1259,7534,2869,528,NA,2289,20151,16651
12,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",8104,300,39569,695,4941,24425,29812,10837,7240,1287,7399,2663,519,NA,2533,20145,15692
13,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",9924,381,38950,670,5538,24436,32285,10999,7598,1385,8178,3392,543,NA,2463,19642,19572
14,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",7790,366,38560,599,5053,24355,29758,10826,7916,1111,7096,2618,505,NA,1943,19700,13997
15,"MIROC6","ssp245","ensembleMean","2001_2020",6557,294,38033,415,4985,24326,26637,10840,7519,956,6139,1930,445,NA,1038,18313,9903
16,"MIROC6","ssp245","r1i1p1f1","2001_2020",6232,309,37830,461,4874,24306,26442,10899,7551,936,5953,1852,456,NA,868,17537,8356
17,"MIROC6","ssp245","r2i1p1f1","2001_2020",6883,307,38077,499,5032,24286,26839,10770,7617,937,6408,2130,450,NA,1074,18054,9472
18,"MIROC6","ssp245","r3i1p1f1","2001_2020",6505,261,38213,262,4910,24345,26629,10842,7265,941,6034,1793,436,NA,1154,18610,11347
19,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",7430,307,38268,549,5171,24229,29192,10658,7741,1069,7019,2284,472,NA,1625,18606,12252
20,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",7066,312,38546,601,4728,24166,29704,10435,7712,1149,7114,2359,483,NA,2063,19303,12690
21,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",7907,300,37769,501,5460,24240,28510,10649,7720,975,6899,2189,466,NA,761,15839,11540
22,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",5886,241,37336,466,4738,24342,28693,10865,6926,953,6171,1932,483,NA,1298,17735,10220
23,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",5886,241,37336,466,4738,24342,28693,10865,6926,953,6171,1932,483,NA,1298,17735,10220
24,"ensembleMean","ssp245","ensembleMean","2001_2020",6133,298,37972,458,4759,24311,27897,10888,7510,993,6220,2156,457,NA,1384,18548,10745
25,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",1088,134,30007,1,2498,23885,17442,10160,6479,200,2151,1291,125,NA,NA,5287,595
26,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",1230,167,30132,NA,2653,23746,16730,10263,6561,178,1764,894,159,NA,NA,4109,355
27,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",1151,140,32575,NA,2427,23795,16458,9192,6288,149,2436,1574,102,NA,1,5618,1075
28,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",966,147,28099,NA,2581,23986,17074,9734,6348,163,1835,1303,73,NA,NA,7896,339
29,"EC-Earth3","ssp245","ensembleMean","2021_2040",546,182,34071,26,3233,24175,19852,10633,6129,298,2454,1239,317,NA,222,8588,1086
30,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",1572,171,37716,133,3728,24224,24251,10849,6847,512,4028,1515,384,NA,328,9846,4246
31,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",291,167,31396,13,2813,24106,18315,10469,5911,263,1912,1846,331,NA,4,6852,330
32,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",727,183,35477,14,3191,24131,20410,10507,5848,310,2781,1650,239,NA,252,8258,1972
33,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",2866,175,33350,30,3454,24381,20216,10906,6302,378,3711,811,479,NA,240,7019,2134
34,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",2736,206,30744,11,3225,24345,19502,10786,6590,329,3490,1061,412,NA,302,6475,1142
35,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",2420,145,35873,6,3728,24394,21373,10979,5559,417,3637,1184,465,NA,165,8148,3526
36,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",3849,187,34812,226,3622,24247,21035,10914,6326,399,4613,783,463,NA,224,9513,3480
37,"MIROC6","ssp245","ensembleMean","2021_2040",2324,198,32236,12,3855,24326,20653,10513,6530,414,3908,1127,386,NA,160,8563,1215
38,"MIROC6","ssp245","r1i1p1f1","2021_2040",2744,179,35713,83,3847,24352,21251,10851,6203,493,4174,1085,500,NA,198,9689,2226
39,"MIROC6","ssp245","r2i1p1f1","2021_2040",2004,169,30226,6,3547,24294,19187,10209,6431,318,3711,1288,251,NA,47,6328,654
40,"MIROC6","ssp245","r3i1p1f1","2021_2040",2205,191,33339,5,4140,24290,21937,10415,6475,379,4099,1338,337,NA,196,8092,1258
41,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",4186,209,33186,77,4178,24211,22524,10064,7170,497,4714,1446,302,NA,251,10585,2538
42,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",5142,222,34587,223,4246,24126,22442,9167,7055,532,5147,1421,261,NA,148,10384,4941
43,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",3464,221,30798,18,3956,24283,21855,10553,6668,489,4194,1439,376,NA,353,9940,1078
44,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",1151,166,32135,7,3139,24114,19909,10708,4530,242,3081,1572,337,NA,1,8212,1125
45,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",1151,166,32135,7,3139,24114,19909,10708,4530,242,3081,1572,337,NA,1,8212,1125
46,"ensembleMean","ssp245","ensembleMean","2021_2040",1718,195,31651,13,3292,24218,20058,10718,6443,355,3196,1142,327,NA,81,8742,1196
47,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",173,82,25200,NA,1753,22514,9518,8888,5723,47,789,1020,41,NA,NA,1558,29
48,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",104,103,21131,NA,1353,22196,8875,9477,5684,16,914,910,70,NA,NA,1014,14
49,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",173,77,23276,NA,1757,21544,8474,7580,5337,35,693,1177,23,NA,NA,1098,18
50,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",172,88,23416,NA,1843,21537,9435,8044,5376,43,950,1069,33,NA,NA,710,19
51,"EC-Earth3","ssp245","ensembleMean","2041_2060",64,178,29072,1,2208,24100,11179,9096,4982,73,915,875,137,NA,NA,3013,83
52,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",192,161,32624,4,2659,24105,16007,9749,5324,136,1658,1337,181,NA,NA,4529,356
53,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",39,169,28499,NA,1934,24067,11052,8116,4767,81,818,1067,118,NA,NA,2543,88
54,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",100,171,31554,3,2250,23978,11058,9312,5603,87,926,772,115,NA,NA,4195,98
55,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",1071,148,34385,NA,2659,24392,15558,10266,5370,151,2345,1108,308,NA,28,5238,628
56,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",1118,145,32591,NA,2943,24341,17629,9895,5456,147,2219,1758,235,NA,1,3684,472
57,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",1268,118,35326,4,2257,24292,15143,10802,5250,188,2578,1388,338,NA,7,10806,2126
58,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",1270,119,36582,4,2687,24390,14475,10279,4749,138,2278,413,390,NA,28,2477,490
59,"MIROC6","ssp245","ensembleMean","2041_2060",769,153,28569,NA,2951,24283,13940,9366,5741,141,2538,1012,226,NA,42,4410,205
60,"MIROC6","ssp245","r1i1p1f1","2041_2060",515,137,26917,2,3285,24376,14166,9660,5589,189,2365,727,301,NA,110,4840,88
61,"MIROC6","ssp245","r2i1p1f1","2041_2060",866,132,29597,NA,3217,24089,13539,8758,5987,139,2834,1151,142,NA,2,3043,191
62,"MIROC6","ssp245","r3i1p1f1","2041_2060",872,131,30004,3,2652,24260,13513,9429,5340,158,2723,1135,208,NA,7,5545,435
63,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",2771,174,27618,7,3587,24304,17974,10100,6542,308,3359,993,260,NA,90,5428,485
64,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",3670,130,26429,5,3600,24397,16861,10021,6845,296,3316,761,231,NA,241,5225,480
65,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",1980,189,28774,3,3650,24106,19720,10033,6220,278,3450,1647,276,NA,23,5114,469
66,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",419,78,33286,NA,2457,24304,13869,9926,2574,88,1715,203,214,NA,1,4776,482
67,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",419,78,33286,NA,2457,24304,13869,9926,2574,88,1715,203,214,NA,1,4776,482
68,"ensembleMean","ssp245","ensembleMean","2041_2060",484,164,30426,NA,2375,24183,13484,9948,5671,116,1646,1133,199,NA,NA,4577,210
69,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",47,78,19884,NA,1135,21475,4627,8078,4647,8,453,515,17,NA,NA,758,3
70,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",26,111,19837,NA,1109,21272,5453,8320,5262,7,337,450,45,NA,NA,724,2
71,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",47,59,18832,NA,996,21793,4516,8325,4651,13,413,452,25,NA,NA,586,2
72,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",77,89,22118,NA,1456,20036,5555,7052,4852,16,753,507,8,NA,NA,413,10
73,"EC-Earth3","ssp245","ensembleMean","2061_2080",16,140,30329,NA,1725,23901,6099,6786,2901,17,421,112,127,NA,NA,60,11
74,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",14,108,35017,NA,1761,23885,6411,6600,2824,12,464,190,169,NA,NA,47,32
75,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",13,151,29549,NA,1615,23964,6488,7282,3260,16,341,80,151,NA,NA,603,15
76,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",20,145,30306,NA,1901,23499,7448,6420,2549,14,647,230,129,NA,NA,66,19
77,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",814,96,31165,NA,2509,24332,12814,8880,4144,89,2008,890,181,NA,NA,1019,84
78,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",762,148,26798,NA,2329,23932,13564,9244,4208,81,2183,1623,126,NA,NA,1873,166
79,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",760,52,34999,NA,2301,24366,12857,8483,4522,83,2215,939,81,NA,2,2489,478
80,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",764,140,33422,NA,2403,24228,9681,7763,2902,59,1495,573,185,NA,NA,8,4
81,"MIROC6","ssp245","ensembleMean","2061_2080",467,144,27718,NA,2776,24027,11234,8564,5812,89,2210,1038,141,NA,NA,2783,167
82,"MIROC6","ssp245","r1i1p1f1","2061_2080",390,140,28106,NA,2588,24111,10750,8310,5496,94,2052,715,139,NA,2,1425,60
83,"MIROC6","ssp245","r2i1p1f1","2061_2080",513,152,27550,NA,2792,23770,11981,9225,5884,96,2291,1567,151,NA,NA,4002,346
84,"MIROC6","ssp245","r3i1p1f1","2061_2080",574,137,28304,NA,2986,24059,10917,7956,5827,80,2369,1008,146,NA,NA,1979,172
85,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",1038,135,24187,NA,2841,24162,14542,9730,5792,125,2365,1530,215,NA,10,3176,143
86,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",1109,162,24865,NA,3213,23946,16503,9056,6002,127,2636,1609,145,NA,5,2672,169
87,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",995,92,23616,NA,2482,24295,13013,9702,5062,122,2099,1388,222,NA,6,3263,109
88,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",160,64,31913,NA,2117,24201,10724,8640,2760,60,1150,228,218,NA,NA,1174,89
89,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",160,64,31913,NA,2117,24201,10724,8640,2760,60,1150,228,218,NA,NA,1174,89
90,"ensembleMean","ssp245","ensembleMean","2061_2080",197,131,27036,NA,1925,23955,9692,8852,4639,47,1105,860,155,NA,NA,1375,59
91,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",16,93,15924,NA,999,18834,1942,6799,2791,4,251,129,3,NA,NA,540,NA
92,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",12,61,13479,NA,1277,18462,2353,7406,3719,NA,247,183,7,NA,NA,213,NA
93,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",6,89,11753,NA,1039,18878,1829,6346,3099,2,221,80,NA,NA,NA,359,NA
94,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",18,59,18397,NA,742,20035,2305,7693,4203,NA,271,143,10,NA,NA,742,1
95,"EC-Earth3","ssp245","ensembleMean","2081_2100",37,137,25816,NA,1356,23172,3578,5406,3174,11,263,19,54,NA,NA,158,NA
96,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",59,120,26063,NA,1363,23130,3063,4515,2693,12,289,22,47,NA,NA,140,NA
97,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",25,185,26783,NA,1519,22978,3987,5517,3675,30,363,45,41,NA,NA,170,NA
98,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",12,109,26427,NA,1102,22778,3739,6459,2958,18,124,28,21,NA,NA,548,NA
99,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",496,59,29494,NA,2176,24152,9675,8442,4560,53,1630,742,136,NA,NA,720,37
100,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",316,77,32102,NA,1841,23816,7590,8042,4330,33,1042,444,161,NA,NA,453,6
101,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",739,59,31725,NA,2316,24385,9510,8705,4157,61,1907,327,162,NA,NA,769,54
102,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",530,22,29670,NA,2006,24054,10044,8255,4587,51,1849,1059,106,NA,NA,782,72
103,"MIROC6","ssp245","ensembleMean","2081_2100",186,83,21347,NA,2207,23084,6757,7377,4983,27,1245,682,50,NA,NA,945,36
104,"MIROC6","ssp245","r1i1p1f1","2081_2100",223,68,23289,NA,1810,22880,5505,7878,5598,41,1125,314,46,NA,NA,1327,66
105,"MIROC6","ssp245","r2i1p1f1","2081_2100",146,58,23734,NA,2374,23389,7412,7121,4580,41,1295,786,64,NA,NA,617,28
106,"MIROC6","ssp245","r3i1p1f1","2081_2100",203,69,20101,NA,2419,22698,7047,6995,4666,20,1509,1142,65,NA,NA,729,14
107,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",771,149,26009,NA,2524,24044,11394,8793,6044,81,1577,578,174,NA,NA,3627,197
108,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",900,122,27174,3,2249,23945,11475,8279,6118,83,1975,531,178,NA,1,5845,361
109,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",662,164,23642,NA,2635,24071,11103,9150,5772,85,1277,679,226,NA,NA,2225,114
110,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",104,33,28811,NA,1906,23645,6469,6669,2389,21,680,97,153,NA,NA,143,3
111,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",104,33,28811,NA,1906,23645,6469,6669,2389,21,680,97,153,NA,NA,143,3
112,"ensembleMean","ssp245","ensembleMean","2081_2100",101,110,22336,NA,1644,23340,6267,7927,4604,22,673,495,76,NA,NA,651,17
