"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp","CRFdh_CA","CWHms_WA","CWHwh_WA","ESSFvh_ID","MHms_WA","CMXwm_OR","CWFwm_OR","CWHdm_OR","MSxh_OR","CWFmm_OR","CWHds_WA","CWHms_OR","CWHvm_OR","IGFmm_OR","IGFxm_OR","MHds_WA","ESSFwm_MT","IDFww","IGFdw_OR","ICHdh_ID","CWHvh1","CWHwh1","ICHdw1","CDFmm_OR","MHwh1","MHwhp","CWHwh2"
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",42,NA,NA,4,301,11071,3610,818,20535,121,549,364,NA,1376,3,679,19914,6460,NA,9915,99,2773,NA,NA,NA,73,1973,19,NA,5218,NA,884,NA,NA,579,NA,899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",20,NA,NA,2,135,6506,4477,24,25116,94,323,51,NA,1300,9,1475,19198,4687,NA,6245,16,1973,NA,NA,NA,113,1305,7,NA,10036,NA,1836,NA,NA,2198,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,2,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",17,NA,NA,1,154,5574,3228,55,27635,24,339,80,NA,1761,22,949,21151,4748,NA,2821,8,1911,NA,NA,NA,84,1339,6,NA,11093,NA,1852,NA,NA,2472,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,13,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",34,NA,NA,1,169,8560,4604,168,22435,92,345,103,NA,622,8,1571,19015,4764,NA,9088,27,2750,NA,NA,NA,98,1260,7,NA,8137,NA,1179,NA,NA,2120,NA,1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",35,NA,NA,9,160,3843,6655,NA,25795,390,514,23,NA,608,NA,3149,12942,4096,NA,1863,85,2498,NA,NA,NA,278,1338,NA,NA,15411,NA,2109,NA,NA,2761,3,3728,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",73,NA,NA,39,459,5530,7888,308,18510,419,960,419,1,372,NA,2140,13088,5073,NA,11422,235,4130,NA,NA,NA,300,2025,35,NA,9070,NA,1335,NA,NA,918,NA,3545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",128,NA,NA,75,599,4455,9879,84,16596,592,1237,336,1,181,NA,3728,10384,5286,NA,11734,525,4460,NA,NA,NA,588,2124,45,NA,9081,NA,1585,NA,NA,724,NA,3864,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",71,NA,NA,29,492,5430,8917,422,17744,373,1119,420,NA,121,NA,2938,11699,5212,NA,10086,297,4281,NA,NA,NA,312,2012,37,NA,9600,NA,1244,NA,NA,1212,NA,4228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",32,NA,NA,22,292,5315,5767,464,22178,464,731,373,5,673,5,1136,16385,4485,NA,10314,70,3458,NA,NA,NA,195,1649,17,NA,9488,NA,1196,NA,NA,1208,NA,2320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,2,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",20,NA,NA,NA,210,9554,3730,780,21373,101,415,385,NA,940,19,487,21379,5641,6,12303,22,2112,NA,NA,NA,35,1645,11,NA,3971,NA,1347,NA,NA,1138,NA,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,1,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",6,NA,NA,50,185,2064,15486,52,14016,271,388,120,NA,67,NA,7458,11420,2829,NA,15601,13,1955,NA,NA,NA,996,1203,33,NA,5995,NA,861,NA,NA,3724,NA,3502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",34,NA,NA,NA,101,9336,2487,1652,20376,12,316,453,104,1744,86,74,25118,5112,6,7077,34,3590,NA,NA,NA,5,1382,14,15,6074,NA,1104,NA,NA,1202,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,NA,NA,4,1,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",3,NA,NA,10,176,9664,3211,61,23894,54,138,89,NA,1839,13,1037,20506,5114,NA,11817,17,219,NA,NA,NA,56,1370,5,NA,5129,NA,2041,NA,NA,1511,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,10,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",73,NA,NA,69,394,3453,8867,156,20817,794,1359,206,NA,156,NA,3503,12149,4688,NA,4345,175,3921,NA,NA,NA,534,2133,17,1,11433,NA,1826,NA,NA,1953,NA,5274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",66,NA,NA,65,419,3689,8318,78,22173,563,1049,151,NA,219,NA,3068,13714,4846,NA,4591,122,4085,NA,NA,NA,540,2175,18,1,10550,NA,1762,NA,NA,1929,NA,4103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",70,NA,NA,86,313,1828,12990,397,17761,1003,826,316,1,16,NA,6484,8222,3806,NA,4039,103,1893,NA,NA,NA,950,1712,27,NA,12404,NA,1179,NA,NA,2663,NA,8981,1,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",78,1,NA,52,402,3971,7099,74,21771,519,1739,145,NA,501,NA,2304,13089,5223,NA,3917,339,4851,NA,NA,NA,341,2272,14,1,11302,NA,2324,NA,NA,1579,NA,4388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",55,NA,NA,219,335,1394,16632,181,14094,420,423,373,NA,15,NA,8407,7614,3241,NA,15961,110,1205,NA,NA,NA,1689,1271,64,NA,6746,1,643,NA,NA,1743,NA,5433,3,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",54,1,NA,446,238,512,16842,58,18711,513,544,255,NA,NA,NA,11533,3287,2070,NA,4653,92,1078,NA,NA,NA,2376,934,61,NA,11500,9,806,NA,2,2748,NA,8706,16,NA,NA,3,247,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",48,1,NA,100,358,3140,16395,423,12877,162,298,534,1,58,2,5620,11450,4332,NA,20602,68,1012,NA,NA,NA,903,1619,78,NA,3760,NA,494,NA,NA,992,NA,2969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",116,NA,NA,6,164,8046,4403,1574,16972,239,792,516,NA,368,7,445,19222,4819,NA,13474,446,6074,NA,NA,NA,64,1339,13,NA,6227,NA,299,NA,NA,854,NA,1810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",116,NA,NA,6,164,8046,4403,1574,16972,239,792,516,NA,368,7,445,19222,4819,NA,13474,446,6074,NA,NA,NA,64,1339,13,NA,6227,NA,299,NA,NA,854,NA,1810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",48,NA,NA,11,179,6566,6683,487,18251,280,687,334,NA,233,NA,1750,15627,4532,NA,12141,89,4215,NA,NA,NA,164,1504,19,NA,8636,NA,1033,NA,NA,1973,NA,2854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,NA,4,NA,50,16485,100,1839,24,70,31,NA,NA,NA,6390,1067,168,NA,2063,2,1563,NA,NA,NA,163,32,5,NA,38939,18,256,NA,1,14901,NA,3976,NA,1,5,2,115,NA,15,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,NA,17,NA,5,16772,109,457,13,11,32,NA,NA,NA,6739,364,124,NA,2417,3,519,NA,NA,NA,236,24,5,NA,38742,21,177,NA,2,15354,NA,5815,1,NA,5,5,298,NA,25,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,221,15386,128,2777,13,97,42,NA,NA,NA,6043,1856,320,NA,1069,9,1526,NA,NA,NA,130,44,4,NA,39243,18,433,NA,1,13680,NA,5113,2,4,6,5,91,NA,15,NA,NA,3,16,NA,NA,NA,NA,1,NA,NA,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,1,NA,NA,2839,8298,967,7110,19,214,115,2,3,NA,759,10974,1071,NA,1526,20,3611,NA,NA,NA,NA,64,2,2,37182,NA,777,NA,NA,10802,NA,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2,NA,NA,NA,NA,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",7,NA,NA,2,146,5523,7476,100,24547,244,389,180,NA,376,NA,2486,14983,4229,NA,4201,15,2321,NA,NA,NA,142,1317,11,NA,12496,NA,1489,NA,NA,2868,NA,2747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",20,NA,NA,NA,101,6218,5373,543,23123,136,636,279,NA,437,NA,1303,15415,3990,NA,4424,36,3903,NA,NA,NA,52,1235,6,NA,14049,NA,1630,NA,NA,2711,NA,2675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",3,NA,NA,31,130,2074,10586,1,25301,169,216,37,NA,275,NA,5798,10450,3069,NA,2061,6,632,NA,NA,NA,418,1188,5,NA,15170,NA,1995,NA,NA,3853,NA,4823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",33,NA,NA,NA,159,9637,3919,1046,22134,138,558,423,NA,904,NA,490,18036,5216,NA,6627,40,3307,NA,NA,NA,28,1487,17,NA,9691,NA,837,NA,NA,1384,NA,2161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",10,NA,NA,1,56,3582,5452,1,24743,113,260,15,NA,781,2,1843,17120,3154,NA,3840,7,2007,NA,NA,NA,95,796,2,NA,15216,NA,2446,NA,NA,4669,NA,2078,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",17,NA,NA,2,47,2075,6778,NA,23597,131,229,7,NA,995,3,3223,15413,2595,NA,3692,9,1462,NA,NA,NA,105,755,NA,NA,16057,NA,3536,NA,NA,5172,NA,2384,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",4,NA,NA,4,63,1640,6706,NA,25857,129,158,5,NA,808,NA,3772,14804,3082,NA,961,1,866,NA,NA,NA,147,904,1,NA,15453,NA,3454,NA,NA,6671,NA,2792,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",4,NA,NA,2,50,1397,12305,12,16701,103,130,25,NA,66,NA,5839,12645,2461,NA,9700,8,1347,NA,NA,NA,163,589,4,NA,13398,NA,830,NA,NA,7267,NA,3249,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",17,NA,NA,6,223,3465,6499,138,24268,199,570,111,2,432,10,1937,16267,3777,NA,6285,27,3856,NA,NA,NA,200,1462,6,NA,11653,NA,2040,NA,NA,2931,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",20,NA,NA,1,176,4677,4182,492,26001,66,579,160,10,897,25,562,18790,4229,NA,3564,28,3669,NA,NA,NA,47,1318,6,NA,12833,NA,1887,NA,NA,2593,NA,1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,24,NA,NA,6,NA,1
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",37,NA,NA,117,223,655,11640,11,21611,655,654,48,4,60,NA,7695,7440,2134,NA,4279,41,3060,NA,NA,NA,1218,1124,4,NA,14719,2,2389,NA,NA,3810,NA,4662,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",10,NA,NA,4,187,3350,6264,199,24624,117,395,123,1,526,50,1993,18351,3735,1,9060,13,3210,NA,NA,NA,230,1280,4,NA,8330,NA,2002,NA,NA,2804,NA,1394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,15,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",14,NA,NA,2,110,7175,5073,941,20277,260,421,360,NA,556,10,758,20148,4290,2,11997,10,3112,NA,NA,NA,52,1261,6,NA,6826,NA,1368,NA,NA,1744,NA,1506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,NA,NA,96,6140,5255,392,23968,140,196,225,NA,497,9,1242,19487,3457,NA,11068,NA,992,NA,NA,NA,56,962,7,NA,7935,NA,1967,NA,NA,2936,NA,1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",63,NA,4,NA,62,12502,2731,2245,14373,19,278,493,161,1102,13,115,23764,4663,3,12408,203,4583,NA,NA,NA,8,1076,10,11,5311,NA,749,NA,NA,669,NA,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",14,NA,NA,1,105,6451,4806,899,21916,255,490,427,NA,635,5,448,20606,4219,NA,8396,7,3338,NA,NA,NA,48,1273,5,1,8446,NA,1414,NA,NA,2149,NA,1777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",46,NA,NA,20,146,2345,6768,612,18350,770,1386,216,7,147,NA,1427,12921,2992,NA,3528,282,5726,NA,NA,NA,185,1369,8,NA,18594,NA,2301,NA,NA,3850,NA,4297,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",44,NA,NA,117,53,331,13790,203,10784,753,663,145,NA,NA,NA,8105,4841,1062,NA,9222,140,5175,NA,NA,NA,1310,487,8,NA,17523,7,967,NA,5,5002,1,7261,NA,NA,NA,1,293,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",73,NA,NA,5,139,4036,3834,478,22631,178,1138,144,31,1047,NA,382,15937,3555,NA,1703,250,5046,NA,NA,NA,54,1387,4,NA,18483,NA,2360,NA,NA,3054,NA,2315,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,31,NA,NA,NA,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",45,NA,NA,36,144,1926,6089,613,19156,1064,1421,149,25,270,NA,1955,12157,2705,NA,1146,218,4426,NA,NA,NA,496,1262,9,NA,20095,NA,2355,NA,NA,4035,NA,6432,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",143,NA,NA,38,260,7906,7107,1164,16591,202,1485,975,2,24,NA,1368,11508,5088,NA,9459,779,5393,NA,NA,NA,230,1706,130,NA,11041,16,584,NA,1,926,NA,4153,13,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",354,NA,NA,60,241,4958,9647,1829,11768,195,2278,1602,2,NA,NA,2189,8810,4768,NA,12426,1739,7011,NA,NA,NA,299,1501,292,NA,10326,56,528,NA,14,875,10,4472,28,NA,4,NA,NA,NA,3,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",61,NA,NA,35,263,8892,6833,884,21711,156,833,678,1,236,NA,878,13984,5066,NA,6413,181,2810,NA,NA,NA,196,1647,46,NA,11982,NA,645,NA,NA,1101,NA,2761,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",2,NA,NA,3,100,3369,7277,73,23458,307,249,83,NA,233,27,2353,18120,3379,NA,6953,3,1779,NA,NA,NA,187,961,4,NA,9879,NA,1054,NA,NA,4952,NA,3468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,18,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",2,NA,NA,3,100,3369,7277,73,23458,307,249,83,NA,233,27,2353,18120,3379,NA,6953,3,1779,NA,NA,NA,187,961,4,NA,9879,NA,1054,NA,NA,4952,NA,3468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,18,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",20,NA,NA,2,80,4433,7245,376,20058,209,542,185,NA,83,NA,2132,14798,3265,NA,6882,23,3719,NA,NA,NA,105,1038,7,NA,14475,NA,1386,NA,NA,3955,NA,3278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
