"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH","CMX","CRF"
1,"obs","obs",NA,"1961_1990",456,27494,6326,NA,NA
2,"obs","obs",NA,"2001_2020",277,28962,5037,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",77,32288,1911,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",78,32808,1390,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",151,32352,1773,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",88,32852,1336,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",158,29446,4672,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",152,29666,4458,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",141,29890,4245,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",161,29469,4646,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",72,30840,3364,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",83,30477,3716,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",80,30970,3226,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",106,31470,2700,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",185,29575,4516,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",255,29187,4834,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",174,29819,4283,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",172,29857,4247,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",195,29409,4672,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",195,29345,4736,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",267,28763,5246,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",169,29974,4133,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",103,30594,3579,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",145,30246,3885,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",146,30460,3670,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",52,31373,2851,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",232,30218,3826,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",273,30004,3999,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",183,30459,3634,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",109,30621,3546,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",109,30621,3546,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",134,30397,3745,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",7,33906,363,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",17,34058,201,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",10,33901,365,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",6,33886,384,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",37,32144,2095,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",33,32228,2015,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",28,32455,1793,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",37,31523,2716,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",13,32997,1266,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",48,31543,2685,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",6,33459,811,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",14,32932,1330,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",29,32402,1845,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",28,32478,1770,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",41,32130,2105,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",22,32629,1625,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",17,32875,1384,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",19,33135,1122,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",11,33070,1195,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",25,32582,1669,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",26,32427,1823,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",46,31883,2347,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",70,32951,1255,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",27,32237,2012,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",63,31819,2394,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",80,31551,2645,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",77,31957,2242,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",60,33297,919,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",60,33297,919,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",25,32802,1449,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",4,34250,22,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",2,34253,21,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,34221,31,24,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",4,34223,20,29,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",12,33303,961,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",21,32947,1308,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",30,32894,1352,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",10,33344,922,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",2,34006,268,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",4,33745,527,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,34033,243,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",2,33986,288,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",4,33597,675,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",3,33741,532,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",7,33432,837,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",3,33633,640,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",8,33658,610,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",3,33745,528,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",10,33582,684,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",6,33669,601,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",6,33405,865,NA,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",4,33400,872,NA,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",32,33569,675,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",10,33208,1058,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",24,32746,1506,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",25,32776,1475,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",134,32838,1304,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",7,33700,569,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",7,33700,569,NA,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",5,33719,552,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,34260,3,13,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,32482,4,24,1766
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,34249,5,22,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",2,33647,17,14,596
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",2,33880,394,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",2,33907,367,NA,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",5,33758,513,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",2,33904,370,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,34212,64,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,34200,76,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,34197,79,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,34199,77,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",2,33926,348,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",3,33772,501,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",2,33950,324,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",2,34014,260,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",3,33963,310,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",2,34009,265,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",3,33879,394,NA,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,34183,93,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",4,33632,640,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",6,33549,721,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",19,33750,507,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",3,33631,642,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",25,33537,714,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",53,33616,607,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",19,33396,861,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",4,33907,365,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",4,33907,365,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",2,34024,250,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,30319,2,561,3394
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,30643,4,338,3291
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,30728,2,503,3043
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,31343,NA,373,2560
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",1,34139,136,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",1,34158,117,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",1,34185,90,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",1,34095,180,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,34237,23,16,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,34233,19,24,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,34216,28,32,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,34244,26,6,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",2,34084,190,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",2,34112,162,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",2,34046,228,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",2,34110,164,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",2,34068,206,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,34207,69,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",2,34046,228,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",2,34049,225,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",6,34138,132,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",9,34150,117,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,34108,168,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",18,34103,155,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",9,33911,356,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",51,33927,298,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",4,33945,327,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,34117,159,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,34117,159,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,34170,106,NA,NA
