"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm_WA","CWHmm1","CWHmm2","CWHvh1","CWHvm_WA","CWHvm1","CWHvm2","CWHwh_WA","CWHxm2","MHmm_WA","MHmm1","MHwh1","MHwhp","CWHvh_WA","CWHdm_OR","CWHmh_OR","CWHvm_OR","CWHvh2","CMXwm_OR","CWHxm_WA","CWHdm","CRFdh_CA","CWHvh3"
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",2,NA,14019,582,66,NA,9442,11386,888,14867,2751,271,7,NA,NA,4551,423,62,NA,NA,5421,NA,NA,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,NA,8869,212,52,NA,8539,14245,954,17478,2191,198,7,NA,NA,5567,399,NA,NA,NA,6027,NA,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",4,NA,18186,789,112,NA,10308,10161,1145,11954,3178,270,24,NA,NA,4499,410,NA,NA,NA,3698,NA,NA,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,NA,17872,476,21,NA,10839,6435,718,14385,2402,224,NA,NA,NA,3223,323,352,NA,NA,7468,NA,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,NA,3688,307,20,681,197,46204,1784,5224,2861,NA,11,NA,NA,985,213,NA,NA,194,2369,NA,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,NA,4263,91,37,3025,579,43748,1605,5303,1343,11,25,NA,NA,1003,100,NA,NA,37,3390,NA,178,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,NA,13560,1385,17,NA,2825,36510,1536,2201,3773,60,NA,NA,NA,1365,NA,NA,NA,80,1426,NA,NA,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,NA,3513,255,3,1932,89,47226,1834,3891,2922,1,1,NA,NA,1158,NA,NA,NA,304,1609,NA,NA,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,NA,15443,750,110,NA,10467,13826,1180,11329,2877,269,49,NA,NA,4408,924,1,NA,NA,3105,NA,NA,NA,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,NA,4223,440,129,673,2847,35107,1904,9185,2415,68,60,NA,NA,5500,1002,198,NA,NA,987,NA,NA,NA,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,NA,20642,263,2,NA,14165,718,558,15374,1046,271,1,NA,NA,2253,617,919,NA,NA,7909,NA,NA,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",5,NA,17731,1598,179,NA,11066,12453,1406,10654,3193,193,77,NA,NA,3630,70,5,NA,NA,2478,NA,NA,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,NA,19228,1318,217,14,10331,16491,1446,6522,3062,262,51,NA,NA,3643,1809,291,NA,NA,53,NA,NA,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,NA,13763,464,18,NA,12137,24768,1893,5446,3220,163,64,NA,NA,1373,1204,146,NA,79,NA,NA,NA,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,NA,17329,665,531,NA,13743,8302,782,10148,2153,554,13,NA,NA,4825,3366,1278,NA,NA,1049,NA,NA,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,NA,18800,985,6,NA,4905,25697,1208,4128,3244,48,1,NA,NA,1299,NA,NA,NA,54,4363,NA,NA,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,NA,18800,985,6,NA,4905,25697,1208,4128,3244,48,1,NA,NA,1299,NA,NA,NA,54,4363,NA,NA,NA,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,NA,15931,1089,118,NA,3936,22852,1268,7677,3409,73,13,NA,NA,3781,200,2,NA,NA,4389,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,NA,10304,153,NA,NA,3192,2123,49,7188,1745,NA,NA,NA,NA,NA,NA,NA,NA,NA,39959,NA,NA,25,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,NA,1025,51,NA,NA,NA,10953,98,9175,2614,NA,NA,NA,NA,3296,6,NA,NA,NA,37477,NA,11,32,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,NA,12556,33,NA,NA,4226,795,19,6096,342,NA,NA,NA,NA,NA,NA,1,NA,NA,40649,NA,NA,21,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,NA,12668,NA,NA,NA,3923,5,10,9026,136,NA,NA,NA,NA,NA,411,155,40,NA,38346,NA,NA,18,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,NA,6364,831,116,102,1813,35518,1293,7954,2455,10,16,NA,NA,3706,197,53,NA,NA,4310,NA,NA,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,NA,5471,574,97,249,1159,39117,1307,6850,1444,11,18,NA,NA,4218,628,361,NA,8,3220,NA,6,NA,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,NA,28198,79,NA,NA,17391,4602,1024,3445,81,98,4,NA,NA,2386,204,NA,NA,NA,7226,NA,NA,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,NA,2565,226,29,2110,381,46112,1435,5345,1646,NA,12,NA,NA,1007,24,1,NA,45,3701,NA,99,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,NA,13758,68,NA,NA,2226,27221,571,4915,822,7,NA,NA,NA,1799,15,NA,NA,22,13314,NA,NA,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,NA,8362,4,NA,198,1100,31146,581,5579,624,NA,NA,NA,NA,2447,NA,NA,NA,6,14691,NA,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,17859,214,NA,NA,2466,24746,642,3342,1213,4,NA,NA,NA,1347,20,NA,NA,55,12830,NA,NA,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,9359,196,1,NA,9644,901,238,22100,1313,194,NA,NA,NA,923,324,2934,NA,NA,16611,NA,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,NA,20765,315,22,NA,9876,7006,673,10703,2620,134,1,NA,NA,3216,222,4,NA,NA,9181,NA,NA,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,NA,18365,625,66,NA,12039,5390,751,14448,2835,234,3,NA,NA,3881,758,38,NA,NA,5305,NA,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,NA,21014,481,46,NA,9157,7213,749,10964,2886,90,3,NA,NA,3064,83,2,NA,NA,8986,NA,NA,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,NA,23179,107,NA,NA,7844,8470,534,7091,2156,97,NA,NA,NA,2405,205,7,NA,NA,12643,NA,NA,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,NA,5569,101,NA,693,787,44094,953,3779,1393,1,3,NA,NA,220,53,NA,NA,259,6833,NA,NA,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,NA,26589,321,NA,NA,9538,11871,765,2213,2253,60,9,NA,NA,640,95,NA,NA,33,10351,NA,NA,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,NA,3504,50,NA,646,502,46957,1068,3471,1762,NA,NA,NA,NA,161,NA,NA,NA,431,6182,NA,NA,NA,4
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,NA,5368,NA,NA,5874,444,39211,620,2611,721,3,NA,NA,NA,37,50,15,NA,165,9409,NA,210,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,NA,23197,831,8,NA,13727,1654,881,11840,2293,105,3,NA,NA,2397,32,12,NA,NA,7758,NA,NA,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,NA,19411,433,3,NA,12155,6817,1029,11981,2310,112,4,NA,NA,3205,77,5,NA,NA,7196,NA,NA,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,NA,31300,16,2,NA,11290,163,383,9388,260,169,NA,NA,NA,546,185,492,181,NA,10363,NA,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",3,NA,19247,746,46,NA,13092,4212,967,13821,2657,153,5,NA,NA,2998,20,2,NA,NA,6769,NA,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,NA,32278,119,1,NA,15858,760,640,4684,637,99,1,NA,NA,1777,401,53,54,NA,7376,NA,NA,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,NA,31596,5,4,NA,12473,20,343,8144,426,192,NA,NA,NA,1099,365,836,229,NA,9006,NA,NA,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,NA,30861,242,NA,NA,16995,4523,860,2638,710,78,1,NA,NA,1352,1303,3,NA,NA,5172,NA,NA,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,NA,19089,651,4,NA,4245,16257,922,7239,3173,14,1,NA,NA,3231,NA,NA,NA,NA,9912,NA,NA,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,NA,19089,651,4,NA,4245,16257,922,7239,3173,14,1,NA,NA,3231,NA,NA,NA,NA,9912,NA,NA,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,NA,22357,405,2,NA,6084,12648,709,5847,2675,53,NA,NA,NA,2178,45,4,NA,NA,11731,NA,NA,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,8940,119,NA,NA,2772,92,NA,3784,168,NA,NA,NA,NA,NA,6,NA,NA,NA,48832,NA,NA,25,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,9693,NA,NA,NA,2608,NA,NA,3452,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,48843,NA,NA,25,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,7694,8,NA,NA,2705,215,NA,5202,633,NA,NA,NA,NA,NA,94,38,NA,NA,48124,NA,NA,25,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,4966,411,NA,NA,768,3834,3,5619,1616,NA,NA,NA,NA,3,NA,NA,NA,NA,47493,NA,NA,25,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,NA,19135,306,5,NA,5938,12941,591,5309,1915,8,NA,NA,NA,2409,43,NA,NA,NA,16138,NA,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,NA,18836,238,1,NA,3960,12479,575,6512,2492,5,NA,NA,NA,1137,2,NA,NA,NA,18501,NA,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,10660,19,NA,NA,10789,381,242,16104,249,153,NA,NA,NA,113,523,549,NA,NA,24956,NA,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,NA,10846,487,48,2,1535,28216,1008,4803,2650,NA,NA,NA,NA,3565,12,NA,NA,NA,11566,NA,NA,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,14208,83,NA,NA,2766,12605,187,7963,829,1,NA,NA,NA,1182,32,1,NA,NA,24881,NA,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,13991,79,NA,NA,2668,11529,137,8779,538,NA,NA,NA,NA,1025,24,NA,NA,NA,25968,NA,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,15424,67,NA,NA,6227,7551,195,9950,150,22,NA,NA,NA,403,69,NA,NA,NA,24680,NA,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,25148,98,NA,NA,7955,1611,224,3056,348,5,NA,NA,NA,229,42,NA,NA,NA,26022,NA,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,NA,17874,75,NA,NA,4570,15485,561,6778,1614,6,NA,NA,NA,1155,56,2,NA,37,16525,NA,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,NA,9076,9,NA,NA,1426,24690,525,7220,1563,NA,NA,NA,NA,2399,8,NA,NA,62,17760,NA,NA,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,NA,20581,209,NA,NA,9755,1760,382,12222,1396,93,NA,NA,NA,1511,77,55,NA,NA,16697,NA,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,NA,16583,66,NA,NA,3879,22355,559,3327,1355,NA,NA,NA,NA,740,58,NA,NA,147,15669,NA,NA,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,12147,251,NA,NA,2194,31050,741,4033,2035,NA,NA,NA,NA,652,29,NA,NA,119,11487,NA,NA,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,15398,122,NA,NA,2432,24746,367,1875,988,1,NA,NA,NA,341,21,NA,NA,109,18338,NA,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,NA,2163,35,NA,479,106,46612,1108,4513,2456,NA,NA,NA,NA,1696,4,NA,NA,194,5372,NA,NA,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,12210,327,NA,NA,2149,31775,778,3021,2119,NA,2,NA,NA,749,8,NA,NA,90,11510,NA,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,NA,13968,515,NA,NA,6473,2298,226,15635,2245,108,NA,NA,NA,1199,8,409,NA,NA,21654,NA,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,NA,22612,743,NA,NA,6333,46,45,9509,264,24,NA,NA,NA,NA,84,903,260,NA,23915,NA,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,5684,76,NA,NA,1745,14971,629,15701,2202,4,NA,NA,NA,3729,7,NA,NA,NA,19990,NA,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,NA,12823,557,NA,NA,6436,512,95,17840,1553,104,NA,NA,NA,226,96,2328,13,NA,22155,NA,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,NA,18301,774,263,NA,8126,7616,708,12084,3350,126,NA,NA,NA,4021,750,311,NA,NA,8308,NA,NA,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,NA,19397,1863,500,NA,6802,5987,597,13122,5456,254,NA,NA,NA,3571,1167,1269,NA,NA,4753,NA,NA,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,NA,15688,209,88,NA,8444,10459,736,10430,2497,76,1,NA,NA,4120,558,68,NA,NA,11364,NA,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,28963,148,NA,NA,8924,3416,474,2438,1476,3,NA,NA,NA,55,13,NA,NA,NA,18828,NA,NA,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,28963,148,NA,NA,8924,3416,474,2438,1476,3,NA,NA,NA,55,13,NA,NA,NA,18828,NA,NA,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,22115,143,NA,NA,5816,6144,366,6188,2235,19,NA,NA,NA,794,1,NA,NA,NA,20917,NA,NA,NA,NA
